id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,popularity
2ilJikX0siocgYS5RAsRxi,Mahakarya,Tulus,['Tulus'],0.756,0.321,3,-9.662,1,0.0368,0.824,0.0,0.0846,0.653,125.864,180481,4,2016-08-03,48
2rGGLCSkv9ISfH64KSYFBj,Cahaya,Tulus,['Tulus'],0.696,0.275,8,-10.821,1,0.0287,0.657,2.13e-06,0.105,0.514,93.951,195914,4,2016-08-03,58
6l7lX8hJXVIUyPrTaabpqk,Ready,Alessia Cara,['Alessia Cara'],0.529,0.496,0,-6.668,0,0.151,0.214,0.0,0.212,0.588,74.619,178747,4,2019-07-22,24
7HMmFQsKsljwTw8bS7lu19,Rare,Selena Gomez,['Selena Gomez'],0.838,0.545,5,-6.713,1,0.0706,0.208,8.01e-05,0.103,0.631,114.998,220590,4,2020-01-10,75
3FeBeuuYR8Rz10U5d69Y82,Gemintang Hatiku,Lyodra,['Lyodra'],0.62,0.539,9,-5.511,1,0.0286,0.724,0.0,0.102,0.331,107.976,217275,4,2020-02-28,51
3wC2GeJd3Ar4Wi1u5G7FUR,Gemintang Hatiku,Tiara Andini,['Tiara Andini'],0.719,0.77,9,-4.167,1,0.036,0.25,0.0,0.0535,0.873,120.024,235980,4,2020-02-28,58
0mB5VPfAyvtBJnqw8pcFAA,Lenggang Puspita,Afgan,['Afgan'],0.607,0.724,7,-5.466,1,0.0348,0.42,0.00376,0.0476,0.851,122.039,291222,4,2019-08-09,41
5sgRYOTpFZRROlndD460KI,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,['Fiersa Besari'],0.531,0.825,4,-5.462,1,0.0432,0.127,0.0,0.195,0.247,125.043,249503,4,2019-11-08,69
1ZNGXIOII9a6m1bkp5U1ct,Sejauh Dua Benua,Arsy Widianto,"['Arsy Widianto', 'Brisia Jodie']",0.782,0.438,10,-9.449,1,0.0441,0.706,0.0,0.0974,0.446,100.002,245000,4,2019-09-27,55
2QohOvW7PuLzZR0v5ASIHX,Khayalan,Hivi!,['Hivi!'],0.676,0.851,7,-6.517,1,0.0473,0.0724,3.37e-06,0.107,0.527,129.967,277373,4,2012-04-18,39
6Jt96y5MkmIH0b3B8t9IbX,Lemonade,Jeremy Passion,"['Jeremy Passion', 'Melissa Polinar', 'Gabe Bondoc']",0.519,0.198,8,-11.927,1,0.049,0.726,0.0,0.142,0.563,122.366,184085,4,2019-11-28,59
3HXEbn3K3hrndR9BLf5EjJ,Nanana,AGNEZ MO,['AGNEZ MO'],0.574,0.758,7,-4.581,1,0.0381,0.00212,6.88e-05,0.0492,0.672,163.869,178840,4,2019-11-20,45
5MSBETwEBIMwv5bmWSGmO8,Honest,Shawn Mendes,['Shawn Mendes'],0.818,0.599,9,-6.288,1,0.0605,0.219,0.0,0.0702,0.724,116.977,199187,4,2017-04-20,0
2d3zTjEWyOzKDPOLjDSRlR,Mutual,Shawn Mendes,['Shawn Mendes'],0.917,0.476,11,-6.689,0,0.154,0.242,0.0,0.133,0.814,115.012,148173,4,2019-06-19,49
2eKH2typXktOBTgWrOHnni,Queen,Shawn Mendes,['Shawn Mendes'],0.881,0.682,1,-7.297,1,0.105,0.202,0.0,0.086,0.931,131.024,204053,4,2019-06-19,47
6XqvFyJGdUD5IWee02ARKU,Polaroid,Jonas Blue,"['Jonas Blue', 'Liam Payne', 'Lennon Stella']",0.652,0.898,7,-4.481,0,0.0361,0.29,0.0,0.073,0.472,114.043,193377,4,2018-11-09,0
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,"['DJ Snake', 'Justin Bieber']",0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947,4,2016-08-05,81
0f6yuI3sF5AFLUbv9JmMRG,Tak Bisa,Rahmania Astrini,"['Rahmania Astrini', 'Nino']",0.608,0.6,9,-5.796,1,0.052,0.425,0.0,0.196,0.66,149.947,254250,4,2020-05-01,51
4msighkG4nKOw60aoN7lV7,Kumau Dia,Andmesh,['Andmesh'],0.467,0.514,0,-9.007,1,0.0274,0.159,8.33e-06,0.316,0.599,157.869,256228,4,2019-11-22,65
0S5EEpFAHcT7cm5XOASc29,Love Never Felt So Good,Michael Jackson,['Michael Jackson'],0.634,0.87,5,-5.277,1,0.0362,0.083,0.0,0.18,0.514,116.967,235400,4,2014-05-09,65
7GqsXhtWdoEosNIAA3BC4q,Aku Percaya,Anji,['Anji'],0.63,0.444,2,-8.515,1,0.0386,0.218,8.08e-06,0.0946,0.36,153.974,232400,4,2019-11-07,28
6Ls0ZznOYYd7eQ52Cgqmkv,Salahkah Aku Terlalu Mencintaimu,Fatin,['Fatin'],0.45,0.438,0,-8.429,0,0.0931,0.801,9.33e-05,0.0873,0.346,80.68,232267,4,2016-09-16,50
3EZFmxil8IXOIL0De8etDN,Bloodshot,Mike Perry,"['Mike Perry', 'Charlotte Haining']",0.692,0.842,11,-4.689,1,0.0643,0.276,0.0,0.154,0.649,113.009,195344,4,2019-06-28,0
266KLge0BPmxLkMqtPhOJZ,Memori,Eka Gustiwana,"['Eka Gustiwana', 'Prince Husein', 'Dmust Akira', 'Gamel Awan']",0.784,0.688,11,-6.925,1,0.0322,0.483,4.38e-06,0.17,0.689,109.99,195584,4,2018-10-28,30
5UYhXDSM6yq9i6vi715wPe,Mengapa Kita #terlanjurmencinta,Lyodra,['Lyodra'],0.329,0.407,2,-8.858,1,0.0406,0.744,0.0,0.0887,0.244,133.842,232000,4,2020-06-26,64
5c41XA3sxiOD3cWkf1Gzki,Tak Sanggup Melupa #terlanjurmencinta,Ziva Magnolya,['Ziva Magnolya'],0.522,0.408,2,-8.099,1,0.0519,0.814,0.0,0.0934,0.205,137.286,224000,4,2020-06-26,67
